site_code,site,transect,period,substrate,pct
GR,Green Rock,GR5,GR5,HC,29.15601023017903
GR,Green Rock,GR5,GR5,SC,0.17050298380221654
GR,Green Rock,GR5,GR5,AB,35.464620630861035
GR,Green Rock,GR5,GR5,TUR,23.614663256606992
GR,Green Rock,GR5,GR5,MAC,4.0068201193520885
GR,Green Rock,GR5,GR5,SP,0.08525149190110827
GR,Green Rock,GR5,GR5,OB,7.502131287297528
GR,Green Rock,GR5,GR5,UKN,0
GR,Green Rock,GR8,Most recent: GR8,HC,54.69387755102041
GR,Green Rock,GR8,Most recent: GR8,SC,0
GR,Green Rock,GR8,Most recent: GR8,AB,15.10204081632653
GR,Green Rock,GR8,Most recent: GR8,TUR,15.26530612244898
GR,Green Rock,GR8,Most recent: GR8,MAC,8.816326530612246
GR,Green Rock,GR8,Most recent: GR8,SP,0.4897959183673469
GR,Green Rock,GR8,Most recent: GR8,OB,5.142857142857142
GR,Green Rock,GR8,Most recent: GR8,UKN,0.4897959183673469
