site,site_code,survey_id,date,researcher,family,fish_count,fish_density_ha
Aow Leuk,AL,EXTRA,2025-08-04,Caitlyn,Parrotfish,136,1360
Aow Leuk,AL,EXTRA,2025-08-04,Maia,Parrotfish,172,1720
Aow Leuk,AL,AL2508,2025-08-07,Cassidy,Rabbitfish,61,610
Aow Leuk,AL,AL2508,2025-08-07,Maia,Rabbitfish,64,640
Aow Leuk,AL,EXTRA,2025-08-07,Cassidy,Rabbitfish,61,610
Aow Leuk,AL,EXTRA,2025-08-07,Maia,Rabbitfish,64,640
Shark Island,SI,SI2502,2025-02-05,Jen,Butterflyfish,63,630
Shark Island,SI,SI2504,2025-04-02,Emma,Butterflyfish,65,650
Shark Island,SI,SI2504,2025-04-02,Tessa,Butterflyfish,64,640
Shark Island,SI,SI2506,2025-06-04,Emma,Butterflyfish,68,680
Shark Island,SI,SI2506,2025-06-04,Niamh,Butterflyfish,63,630
Shark Island,SI,EXTRA,2025-08-07,Louis,Butterflyfish,66,660
Shark Island,SI,EXTRA,2025-08-07,Louis,Rabbitfish,61,610
Shark Island,SI,EXTRA,2025-08-07,Nico,Rabbitfish,85,850
Shark Island,SI,SI2508,2025-08-07,Louis,Butterflyfish,66,660
Shark Island,SI,SI2508,2025-08-07,Louis,Rabbitfish,61,610
Shark Island,SI,SI2508,2025-08-07,Louis,Rabbitfish,85,850
Shark Island,SI,SI2604,2026-04-08,Max,Butterflyfish,75,750
Twins Wall,TW,TW2508,2025-08-06,Maddie,Butterflyfish,77,770
Twins Wall,TW,EXTRA,2025-10-08,Thomas,Parrotfish,55,550
