site_code,date,n_researcher_surveys
AL,2025-08-04,6
AL,2025-08-07,4
AL,2025-10-22,4
TB,2025-08-06,4
TB,2025-09-30,4
AL,2025-04-16,3
SI,2025-08-07,3
TW,2025-03-31,3
TW,2025-10-01,3
AL,2025-06-02,2
AL,2025-09-29,2
AL,2026-02-02,2
AL,2026-04-06,2
AL,2026-06-01,2
GR,2025-04-01,2
GR,2025-06-19,2
GR,2025-08-06,2
GR,2025-10-01,2
GR,2026-02-03,2
GR,2026-04-09,2
GR,2026-06-02,2
RR,2025-10-01,2
RR,2026-02-04,2
RR,2026-04-07,2
SI,2025-02-05,2
SI,2025-04-02,2
SI,2025-06-04,2
SI,2025-10-02,2
SI,2026-04-08,2
SI,2026-06-04,2
TB,2025-02-06,2
TB,2025-04-09,2
TB,2025-06-10,2
TB,2025-10-06,2
TB,2026-04-07,2
TW,2025-02-04,2
TW,2025-06-16,2
TW,2025-08-06,2
TW,2025-10-08,2
TW,2026-02-04,2
TW,2026-04-18,2
RR,2025-10-21,1
SI,2025-10-14,1
SI,2026-02-05,1
TB,2026-02-03,1
