site_code,date,buddy,family,n_obs
AL,2025-09-01,A,Butterflyfish,2
AL,2025-09-01,A,Parrotfish,2
AL,2025-09-01,A,Rabbitfish,1
AL,2025-09-01,B,Butterflyfish,2
AL,2025-09-01,B,Parrotfish,2
AL,2025-09-01,B,Rabbitfish,1
AL,2025-09-25,A,Butterflyfish,2
AL,2025-09-25,A,Parrotfish,2
AL,2025-09-25,A,Rabbitfish,2
AL,2025-09-25,B,Butterflyfish,2
AL,2025-09-25,B,Parrotfish,2
AL,2025-09-25,B,Rabbitfish,2
AL,2025-09-29,A,Butterflyfish,2
AL,2025-09-29,A,Parrotfish,3
AL,2025-09-29,A,Rabbitfish,3
AL,2025-09-29,B,Butterflyfish,2
AL,2025-09-29,B,Parrotfish,3
AL,2025-09-29,B,Rabbitfish,3
AL,2025-10-07,A,Butterflyfish,3
AL,2025-10-07,A,Parrotfish,2
AL,2025-10-07,A,Rabbitfish,3
AL,2025-10-07,B,Butterflyfish,3
AL,2025-10-07,B,Parrotfish,2
AL,2025-10-07,B,Rabbitfish,3
GR,2025-10-01,A,Butterflyfish,4
GR,2025-10-01,A,Parrotfish,3
GR,2025-10-01,A,Rabbitfish,4
GR,2025-10-01,B,Butterflyfish,4
GR,2025-10-01,B,Parrotfish,3
GR,2025-10-01,B,Rabbitfish,4
GR,2025-10-15,A,Butterflyfish,3
GR,2025-10-15,A,Parrotfish,5
GR,2025-10-15,A,Rabbitfish,3
GR,2025-10-15,B,Butterflyfish,3
GR,2025-10-15,B,Parrotfish,5
GR,2025-10-15,B,Rabbitfish,3
GR,2025-10-21,A,Butterflyfish,2
GR,2025-10-21,A,Parrotfish,2
GR,2025-10-21,A,Rabbitfish,2
GR,2025-10-21,B,Butterflyfish,2
GR,2025-10-21,B,Parrotfish,2
GR,2025-10-21,B,Rabbitfish,2
RR,2025-10-01,A,Butterflyfish,3
RR,2025-10-01,A,Parrotfish,3
RR,2025-10-01,A,Rabbitfish,3
RR,2025-10-01,B,Butterflyfish,3
RR,2025-10-01,B,Parrotfish,3
RR,2025-10-01,B,Rabbitfish,3
RR,2025-10-07,A,Butterflyfish,3
RR,2025-10-07,A,Parrotfish,3
RR,2025-10-07,A,Rabbitfish,3
RR,2025-10-07,B,Butterflyfish,3
RR,2025-10-07,B,Parrotfish,3
RR,2025-10-07,B,Rabbitfish,3
RR,2025-10-15,A,Butterflyfish,3
RR,2025-10-15,A,Parrotfish,3
RR,2025-10-15,A,Rabbitfish,3
RR,2025-10-15,B,Butterflyfish,3
RR,2025-10-15,B,Parrotfish,3
RR,2025-10-15,B,Rabbitfish,3
SI,2025-09-24,A,Butterflyfish,1
SI,2025-09-24,A,Parrotfish,1
SI,2025-09-24,A,Rabbitfish,1
SI,2025-09-24,B,Butterflyfish,1
SI,2025-09-24,B,Parrotfish,1
SI,2025-09-24,B,Rabbitfish,1
SI,2025-10-02,A,Butterflyfish,3
SI,2025-10-02,A,Parrotfish,3
SI,2025-10-02,A,Rabbitfish,3
SI,2025-10-02,B,Butterflyfish,3
SI,2025-10-02,B,Parrotfish,3
SI,2025-10-02,B,Rabbitfish,3
SI,2025-10-14,A,Butterflyfish,5
SI,2025-10-14,A,Parrotfish,5
SI,2025-10-14,A,Rabbitfish,5
SI,2025-10-14,B,Butterflyfish,5
SI,2025-10-14,B,Parrotfish,5
SI,2025-10-14,B,Rabbitfish,5
TB,2025-10-06,A,Butterflyfish,3
TB,2025-10-06,A,Parrotfish,3
TB,2025-10-06,A,Rabbitfish,3
TB,2025-10-06,B,Butterflyfish,3
TB,2025-10-06,B,Parrotfish,3
TB,2025-10-06,B,Rabbitfish,3
TB,2025-10-07,A,Butterflyfish,4
TB,2025-10-07,A,Parrotfish,4
TB,2025-10-07,A,Rabbitfish,4
TB,2025-10-07,B,Butterflyfish,4
TB,2025-10-07,B,Parrotfish,4
TB,2025-10-07,B,Rabbitfish,4
TB,2025-10-15,A,Butterflyfish,3
TB,2025-10-15,A,Parrotfish,3
TB,2025-10-15,A,Rabbitfish,3
TB,2025-10-15,B,Butterflyfish,3
TB,2025-10-15,B,Parrotfish,3
TB,2025-10-15,B,Rabbitfish,3
TW,2025-09-17,A,Butterflyfish,5
TW,2025-09-17,A,Parrotfish,5
TW,2025-09-17,A,Rabbitfish,5
TW,2025-09-17,B,Butterflyfish,5
TW,2025-09-17,B,Parrotfish,5
TW,2025-09-17,B,Rabbitfish,5
TW,2025-09-23,A,Butterflyfish,2
TW,2025-09-23,A,Parrotfish,2
TW,2025-09-23,A,Rabbitfish,2
TW,2025-09-23,B,Butterflyfish,2
TW,2025-09-23,B,Parrotfish,2
TW,2025-09-23,B,Rabbitfish,2
TW,2025-10-08,A,Butterflyfish,3
TW,2025-10-08,A,Parrotfish,3
TW,2025-10-08,A,Rabbitfish,2
TW,2025-10-08,B,Butterflyfish,3
TW,2025-10-08,B,Parrotfish,3
TW,2025-10-08,B,Rabbitfish,2
