site,site_code,family,n_records,total_fish,mean_density_ha,sd_density_ha
Aow Leuk,AL,Butterflyfish,27,489,181.11111111111111,86.61734296642966
Aow Leuk,AL,Parrotfish,27,681,252.22222222222226,383.2987721320651
Aow Leuk,AL,Rabbitfish,27,755,279.6296296296296,164.91213234935566
Green Rock Wall,GR,Butterflyfish,14,336,240,83.20502943378436
Green Rock Wall,GR,Parrotfish,14,473,337.85714285714283,84.23214911810659
Green Rock Wall,GR,Rabbitfish,14,358,255.71428571428572,63.9367819640001
Red Rock Wall,RR,Butterflyfish,8,263,328.75,81.66788142925502
Red Rock Wall,RR,Parrotfish,8,175,218.75,65.99512969043354
Red Rock Wall,RR,Rabbitfish,8,195,243.75,91.9530159530243
Shark Island,SI,Butterflyfish,20,1069,534.5,152.02060109700506
Shark Island,SI,Parrotfish,20,296,148,84.08016225133326
Shark Island,SI,Rabbitfish,20,822,411,180.43514653543295
Tanote Bay,TB,Butterflyfish,19,452,237.89473684210526,81.82494508050036
Tanote Bay,TB,Parrotfish,19,369,194.21052631578948,78.76235631270706
Tanote Bay,TB,Rabbitfish,19,473,248.94736842105263,88.62497370895115
Twins Wall,TW,Butterflyfish,21,500,238.0952380952381,156.92734139145568
Twins Wall,TW,Parrotfish,21,613,291.9047619047619,102.3044010597319
Twins Wall,TW,Rabbitfish,21,507,241.42857142857142,123.0563169563316
