site,site_code,family,n_obs,mean_bites_min,sd_bites_min,mean_total_bites
Aow Leuk,AL,Butterflyfish,18,7.302875243664718,6.392499589567544,23.27777777777778
Aow Leuk,AL,Parrotfish,18,23.465922381711856,8.262317574311298,75
Aow Leuk,AL,Rabbitfish,18,8.885672514619882,3.8290059125223124,27.27777777777778
Green Rock Wall,GR,Butterflyfish,18,6.024171539961014,4.012347487604937,18.555555555555557
Green Rock Wall,GR,Parrotfish,20,15.199928229665073,11.356884533205138,49.75
Green Rock Wall,GR,Rabbitfish,18,19.249317738791422,10.580670139027623,59.388888888888886
Red Rock Wall,RR,Butterflyfish,18,5.992341966026177,2.7007755536522167,19.333333333333332
Red Rock Wall,RR,Parrotfish,18,14.85853522695628,9.76128322768226,46.5
Red Rock Wall,RR,Rabbitfish,18,14.633528265107213,6.866683749322587,45.22222222222222
Shark Island,SI,Butterflyfish,18,6.366666666666667,2.77147486174987,19.944444444444443
Shark Island,SI,Parrotfish,18,15.672096908939015,7.01396942780514,49.94444444444444
Shark Island,SI,Rabbitfish,18,18.3,6.095508791257958,59.05555555555556
Tanote Bay,TB,Butterflyfish,20,4.039348370927319,3.4393100029913843,12.5
Tanote Bay,TB,Parrotfish,20,30.140551378446116,11.616993042062209,97.3
Tanote Bay,TB,Rabbitfish,20,17.30280701754386,9.175269978270878,54.55
Twins Wall,TW,Butterflyfish,20,7.2962015177804656,3.234217035047436,23.85
Twins Wall,TW,Parrotfish,20,37.782272727272726,7.710145711348126,122.65
Twins Wall,TW,Rabbitfish,18,14.291218430692116,9.994377557552701,48.27777777777778
