effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,p_formatted
fixed,cond,(Intercept),-0.188,0.171,-1.099,0.2717370975713718,-0.524,0.147,0.272
fixed,cond,substrateMAC,-2.813,0.369,-7.619,2.5567768986122292e-14,-3.537,-2.09,<0.001
fixed,cond,substrateTUR,-0.141,0.192,-0.736,0.46178454690225523,-0.517,0.235,0.462
fixed,cond,familyParrotfish,-2.569,0.188,-13.657,1.8443008593680836e-42,-2.938,-2.2,<0.001
fixed,cond,familyRabbitfish,-2.55,0.191,-13.36,1.0306405994106731e-40,-2.925,-2.176,<0.001
fixed,cond,cots_mean_ha_sc,-0.19,0.118,-1.603,0.10888454297825627,-0.422,0.042,0.109
fixed,cond,avail_pct_sc,0.166,0.123,1.355,0.17540909114743328,-0.074,0.407,0.175
fixed,cond,substrateMAC:familyParrotfish,3.313,0.316,10.497,8.93475792420385e-26,2.694,3.932,<0.001
fixed,cond,substrateTUR:familyParrotfish,3.868,0.247,15.63,4.572125243912247e-55,3.383,4.353,<0.001
fixed,cond,substrateMAC:familyRabbitfish,3.466,0.319,10.859,1.799764312053881e-27,2.84,4.091,<0.001
fixed,cond,substrateTUR:familyRabbitfish,4.26,0.255,16.74,6.741553141462444e-63,3.762,4.759,<0.001
fixed,cond,substrateMAC:cots_mean_ha_sc,-0.035,0.252,-0.138,0.890108209007528,-0.528,0.459,0.890
fixed,cond,substrateTUR:cots_mean_ha_sc,0.398,0.171,2.334,0.0195809692406885,0.064,0.733,0.020
fixed,cond,familyParrotfish:cots_mean_ha_sc,-0.164,0.187,-0.879,0.3794013889803564,-0.531,0.202,0.379
fixed,cond,familyRabbitfish:cots_mean_ha_sc,0.147,0.188,0.783,0.4336808613689705,-0.221,0.516,0.434
fixed,cond,substrateMAC:familyParrotfish:cots_mean_ha_sc,0.263,0.322,0.817,0.4140903170348608,-0.368,0.894,0.414
fixed,cond,substrateTUR:familyParrotfish:cots_mean_ha_sc,-0.066,0.243,-0.272,0.785933376246411,-0.541,0.41,0.786
fixed,cond,substrateMAC:familyRabbitfish:cots_mean_ha_sc,-0.093,0.322,-0.291,0.7712354605343876,-0.724,0.537,0.771
fixed,cond,substrateTUR:familyRabbitfish:cots_mean_ha_sc,-0.252,0.246,-1.025,0.30556847613049126,-0.735,0.23,0.306
