"Effect","Estimate","SE","CI","p_value"
"(Intercept)",0.979,0.107,"[0.77, 1.19]","<0.001"
"substrateMAC",-3.25,0.246,"[-3.73, -2.76]","<0.001"
"substrateHC",-3.69,0.21,"[-4.1, -3.28]","<0.001"
"familyRabbitfish",0.4,0.151,"[0.103, 0.697]","0.008"
"familyButterflyfish",-1.3,0.154,"[-1.6, -0.999]","<0.001"
"cots_mean_ha_sc",0.0914,0.0693,"[-0.0445, 0.227]","0.187"
"avail_pct_sc",0.162,0.123,"[-0.0784, 0.402]","0.187"
"substrateMAC:familyRabbitfish",-0.222,0.244,"[-0.701, 0.257]","0.364"
"substrateHC:familyRabbitfish",-0.441,0.253,"[-0.936, 0.0549]","0.081"
"substrateMAC:familyButterflyfish",0.566,0.296,"[-0.0146, 1.15]","0.056"
"substrateHC:familyButterflyfish",3.83,0.244,"[3.35, 4.31]","<0.001"
"substrateMAC:cots_mean_ha_sc",-0.253,0.113,"[-0.473, -0.0319]","0.025"
"substrateHC:cots_mean_ha_sc",-0.29,0.116,"[-0.518, -0.0626]","0.012"
