"Effect","Estimate","SE","CI","p_value"
"(Intercept)",0.935,0.113,"[0.713, 1.16]","<0.001"
"substrateMAC",-2.85,0.243,"[-3.32, -2.37]","<0.001"
"substrateHC",-4.02,0.241,"[-4.49, -3.55]","<0.001"
"familyRabbitfish",0.427,0.162,"[0.109, 0.745]","0.009"
"familyButterflyfish",-1.13,0.166,"[-1.46, -0.809]","<0.001"
"avail_pct_sc",0.475,0.121,"[0.238, 0.713]","<0.001"
"cots_mean_ha_sc",-0.0634,0.0461,"[-0.154, 0.0269]","0.169"
"substrateMAC:familyRabbitfish",-0.258,0.264,"[-0.775, 0.259]","0.328"
"substrateHC:familyRabbitfish",-0.471,0.272,"[-1, 0.0622]","0.083"
"substrateMAC:familyButterflyfish",0.165,0.338,"[-0.499, 0.828]","0.627"
"substrateHC:familyButterflyfish",3.6,0.264,"[3.08, 4.12]","<0.001"
