site_code,site,transect,AB,HC,MAC,OB,TUR,UKN,SP,SC,site_type,cots_mean_ha,cots_max_ha,cots_15_mean,cots_15_max,algal_cover,benthic_state
AL,Aow Leuk,AL1,16.32,26.96,1.8399999999999999,2.2399999999999998,51.76,0.88,0,0,Control,7,15,Below_15,Above_15,53.599999999999994,26.639999999999993
AL,Aow Leuk,AL2,19.855884707766215,22.017614091273018,0.4803843074459567,9.607686148919136,47.87830264211369,0.16012810248198558,0,0,Control,7,15,Below_15,Above_15,48.35868694955965,26.34107285828663
AL,Aow Leuk,AL3,37.77064955894146,31.11467522052927,0.40096230954290296,0.5613472333600642,30.152365677626303,0,0,0,Control,7,15,Below_15,Above_15,30.553327987169205,-0.5613472333600669
AL,Aow Leuk,AL4,55.983935742971894,22.248995983935743,0.08032128514056225,0,21.606425702811244,0,0.08032128514056225,0,Control,7,15,Below_15,Above_15,21.686746987951807,-0.5622489959839356
AL,Aow Leuk,AL5,19.6,57.99999999999999,0.2,0,22,0,0.2,0,Control,7,15,Below_15,Above_15,22.2,-35.8
AL,Aow Leuk,AL6,20.4,25.759999999999998,4.96,6.800000000000001,42.08,0,0,0,Control,7,15,Below_15,Above_15,47.04,21.28
AL,Aow Leuk,AL7,23.44,30.8,0.64,5.04,40.08,0,0,0,Control,7,15,Below_15,Above_15,40.72,9.919999999999998
AL,Aow Leuk,AL8,24.296296296296298,56.592592592592595,0,2.074074074074074,17.037037037037038,0,0,0,Control,7,15,Below_15,Above_15,17.037037037037038,-39.55555555555556
AL,Aow Leuk,AL9,13.62179487179487,27.884615384615387,0.08012820512820512,16.826923076923077,32.8525641025641,8.733974358974358,0,0,Control,7,15,Below_15,Above_15,32.93269230769231,5.04807692307692
GR,Green Rock,GR1,5.12,39.519999999999996,1.44,6.32,47.44,0.16,0,0,High Density,35.44444444444444,70,Above_15,Above_15,48.879999999999995,9.36
GR,Green Rock,GR2,13.76,27.200000000000003,0.72,3.52,54.72,0.08,0,0,High Density,35.44444444444444,70,Above_15,Above_15,55.44,28.239999999999995
GR,Green Rock,GR3,14.719999999999999,45.28,2.2399999999999998,2.48,34.4,0.88,0,0,High Density,35.44444444444444,70,Above_15,Above_15,36.64,-8.64
GR,Green Rock,GR4,7.4399999999999995,58.08,2.56,2.56,28.560000000000002,0.8,0,0,High Density,35.44444444444444,70,Above_15,Above_15,31.12,-26.959999999999997
GR,Green Rock,GR5,35.464620630861035,29.15601023017903,4.0068201193520885,7.502131287297528,23.614663256606992,0,0.08525149190110827,0.17050298380221654,High Density,35.44444444444444,70,Above_15,Above_15,27.62148337595908,-1.5345268542199513
GR,Green Rock,GR6,59.210526315789465,20.394736842105264,2.138157894736842,9.12828947368421,9.12828947368421,0,0,0,High Density,35.44444444444444,70,Above_15,Above_15,11.266447368421053,-9.12828947368421
GR,Green Rock,GR7,52.8441879637263,26.380873866446823,3.3800494641384993,9.64550700741962,7.5845012366034625,0,0.16488046166529266,0,High Density,35.44444444444444,70,Above_15,Above_15,10.964550700741961,-15.416323165704862
GR,Green Rock,GR8,15.10204081632653,54.69387755102041,8.816326530612246,5.142857142857142,15.26530612244898,0.4897959183673469,0.4897959183673469,0,High Density,35.44444444444444,70,Above_15,Above_15,24.081632653061227,-30.61224489795918
RR,Red Rock,RR1,2.4,48.4,6.88,2.88,38.879999999999995,0.5599999999999999,0,0,High Density,29.21875,55,Above_15,Above_15,45.76,-2.6400000000000006
RR,Red Rock,RR2,2.88,55.84,3.2,1.76,36.08,0.24,0,0,High Density,29.21875,55,Above_15,Above_15,39.28,-16.560000000000002
RR,Red Rock,RR3,5.4399999999999995,46.88,2.96,3.36,40.88,0.48,0,0,High Density,29.21875,55,Above_15,Above_15,43.84,-3.039999999999999
RR,Red Rock,RR4,1.6813450760608486,52.44195356285029,3.522818254603683,4.483586869495596,37.389911929543636,0.4803843074459567,0,0,High Density,29.21875,55,Above_15,Above_15,40.91273018414732,-11.529223378702966
RR,Red Rock,RR5,44.807467911318554,39.55659276546091,1.8669778296382729,7.584597432905485,5.950991831971995,0,0.2333722287047841,0,High Density,29.21875,55,Above_15,Above_15,7.8179696616102685,-31.738623103850642
