site,buddy,family,species,date,time_s,macro_algal_bites,turf_filamentous_algal_bites,live_coral_bites,dead_coral_with_algae,co_ts_scars,sponge_bites,sediment,unknown,site_code,bites_total,minutes_obs,bites_min,trophic_group,taxon_family,genus,species_epithet,sci_name,taxon_notes,site_type,cots_mean_ha,cots_max_ha,cots_15_mean,cots_15_max,HC,TUR,MAC,algal_cover,benthic_state,n_substrate_transects,obs_id,cots_mean_ha_sc,HC_sc,MAC_sc,TUR_sc
Shark Island,A,Parrotfish,Surf,2025-09-24,180,1,34,1,0,0,0,1,0,SI,37,3,12.333333333333334,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,1,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-02,190,0,25,0,0,0,28,0,0,SI,53,3.1666666666666665,16.736842105263158,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,2,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Surf,2025-10-02,190,0,71,2,0,0,0,0,0,SI,73,3.1666666666666665,23.05263157894737,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,3,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-02,210,0,88,6,0,0,15,0,2,SI,111,3.5,31.714285714285715,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,4,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-14,180,0,16,16,0,0,0,0,3,SI,35,3,11.666666666666666,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,5,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-14,190,0,31,12,0,0,0,0,0,SI,43,3.1666666666666665,13.578947368421053,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,6,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Surf,2025-10-14,180,0,16,4,0,0,0,0,0,SI,20,3,6.666666666666667,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,7,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-14,180,0,31,0,0,0,0,0,0,SI,31,3,10.333333333333334,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,8,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Parrotfish,Blue-barred,2025-10-14,190,3,42,7,0,0,0,0,3,SI,55,3.1666666666666665,17.36842105263158,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,9,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Surf,2025-09-24,180,1,36,2,0,0,0,3,0,SI,42,3,14,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,10,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-02,190,0,45,0,0,0,20,0,0,SI,65,3.1666666666666665,20.526315789473685,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,11,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Surf,2025-10-02,190,0,75,1,0,0,0,0,0,SI,76,3.1666666666666665,24,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,12,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-02,210,1,79,0,0,0,7,0,0,SI,87,3.5,24.857142857142858,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,13,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-14,180,0,9,13,0,0,0,0,4,SI,26,3,8.666666666666666,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,14,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-14,190,0,25,8,0,0,0,0,6,SI,39,3.1666666666666665,12.31578947368421,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,15,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Surf,2025-10-14,180,0,16,2,0,0,0,0,5,SI,23,3,7.666666666666667,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,16,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-14,180,0,23,0,0,0,0,0,0,SI,23,3,7.666666666666667,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,17,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Parrotfish,Blue-barred,2025-10-14,190,1,52,5,0,0,0,0,2,SI,60,3.1666666666666665,18.947368421052634,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,18,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-09-24,180,1,37,2,0,0,0,0,1,SI,41,3,13.666666666666666,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,19,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
