site_code,transect,cots_mean_ha,cots_mean_ha_sc,site_label,site_type,substrate,pct,al_label
AL,AL1,7,-0.7393202304607429,AL,Control,HC,26.96,AL
AL,AL1,7,-0.7393202304607429,AL,Control,MAC,1.84,AL
AL,AL1,7,-0.7393202304607429,AL,Control,TUR,51.76,AL
AL,AL2,7,-0.7393202304607429,AL,Control,HC,22.017614091273018,AL
AL,AL2,7,-0.7393202304607429,AL,Control,MAC,0.4803843074459567,AL
AL,AL2,7,-0.7393202304607429,AL,Control,TUR,47.87830264211369,AL
AL,AL3,7,-0.7393202304607429,AL,Control,HC,31.11467522052927,AL
AL,AL3,7,-0.7393202304607429,AL,Control,MAC,0.40096230954290296,AL
AL,AL3,7,-0.7393202304607429,AL,Control,TUR,30.152365677626303,AL
AL,AL4,7,-0.7393202304607429,AL,Control,HC,22.248995983935743,AL
AL,AL4,7,-0.7393202304607429,AL,Control,MAC,0.08032128514056225,AL
AL,AL4,7,-0.7393202304607429,AL,Control,TUR,21.606425702811244,AL
AL,AL5,7,-0.7393202304607429,AL,Control,HC,57.99999999999999,AL
AL,AL5,7,-0.7393202304607429,AL,Control,MAC,0.2,AL
AL,AL5,7,-0.7393202304607429,AL,Control,TUR,22,AL
AL,AL6,7,-0.7393202304607429,AL,Control,HC,25.76,AL
AL,AL6,7,-0.7393202304607429,AL,Control,MAC,4.96,AL
AL,AL6,7,-0.7393202304607429,AL,Control,TUR,42.08,AL
AL,AL7,7,-0.7393202304607429,AL,Control,HC,30.8,AL
AL,AL7,7,-0.7393202304607429,AL,Control,MAC,0.64,AL
AL,AL7,7,-0.7393202304607429,AL,Control,TUR,40.08,AL
AL,AL8,7,-0.7393202304607429,AL,Control,HC,56.592592592592595,AL
AL,AL8,7,-0.7393202304607429,AL,Control,MAC,0,AL
AL,AL8,7,-0.7393202304607429,AL,Control,TUR,17.037037037037038,AL
AL,AL9,7,-0.7393202304607429,AL,Control,HC,27.884615384615387,AL
AL,AL9,7,-0.7393202304607429,AL,Control,MAC,0.08012820512820512,AL
