"survey_id","site","date","avg_depth_m","time_24hr","transect_m","visibility_m","weather","current","local_boats","researcher","site_code","area_m2","area_ha","family","fish_count","fish_density_ha","trophic_group","taxon_family","genus","species_epithet","sci_name"
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Butterflyfish",19,190,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Parrotfish",5,50,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Emma","AL",1000,0.1,"Rabbitfish",24,240,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Parrotfish",4,40,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Niamh","AL",1000,0.1,"Rabbitfish",21,210,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Butterflyfish",14,140,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Parrotfish",9,90,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2504","Aow Leuk",2025-04-16,8.2,"13:00",100,11,3,"None",NA,"Tessa","AL",1000,0.1,"Rabbitfish",29,290,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Butterflyfish",31,310,"Grazer","Chaetodontidae","Chaetodon","spp.","Chaetodon spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Parrotfish",27,270,"Grazer","Labridae: Scarinae","Scarus","spp.","Scarus spp."
"AL2506","Aow Leuk",2025-06-02,8,"13:00",100,10,2,"None",6,"Emma","AL",1000,0.1,"Rabbitfish",25,250,"Grazer","Siganidae","Siganus","spp.","Siganus spp."
