SURVEYCODE,SITE,DATE (mm/dd/yyyy),AVG DEPTH (m) ,TIME (24hr),TRANSECT (m),VISIBILITY (m),WEATHER (1-5) ,CURRENT,LOCAL BOATS ,RESEARCHERS,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,TOTAL N ,,,,,,,,,,,,,,
AL2504,Aow Leuk,04/16/2025,8.2,13:00,100,11,3,None,NA,Tessa,9,29,14,0,2,0,1,1,0,0,5,1,0,0,1,0,0,0,0,14,5,0,82,,,,,,,,,,,,,,
AL2504,Aow Leuk,04/16/2025,8.2,13:00,100,11,3,None,NA,Emma,5,24,19,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,2,23,2,0,81,,,,,,,,,,,,,,
AL2504,Aow Leuk,04/16/2025,8.2,13:00,100,11,3,None,NA,Niamh,4,21,14,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,2,22,2,0,71,,,,,,,,,,,,,,
AL2506,Aow Leuk,06/02/2025,8,13:00,100,10,2,None,6,Emma,27,25,31,0,6,0,3,3,3,1,0,1,0,1,0,0,0,2,7,9,1,0,120,,,,,,,,,,,,,,
AL2506,Aow Leuk,06/02/2025,8,13:00,100,10,2,None,6,James,23,27,33,0,2,0,1,3,1,1,0,0,0,1,2,1,0,1,7,14,2,0,119,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Hanwei,29,14,5,0,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,6,0,0,62,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Caitlyn,136,17,5,2,4,0,4,4,2,0,0,0,0,0,0,0,0,0,2,7,4,0,187,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,9,3:03,100,12,2,None,12,Iola,18,40,15,0,2,0,3,12,1,0,7,0,0,0,0,0,0,1,1,17,0,0,117,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,9,3:03,100,12,2,None,12,Maddy,10,29,13,1,0,0,2,10,1,0,0,0,0,0,0,0,0,1,0,11,4,0,82,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,8.5,13:05,100,14,2,None,8,Cassidy,8,22,19,0,3,0,2,4,2,0,0,0,0,0,0,0,0,1,0,9,0,0,70,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/04/2025,8.5,13:06,100,13,2,None,8,Maia,172,15,24,0,2,0,0,9,2,0,0,0,0,0,0,0,0,1,0,11,2,0,238,,,,,,,,,,,,,,
AL2508,Aow Leuk,08/07/2025,8,13:07,100,15,3,None,14,Cassidy,26,61,28,3,3,0,0,9,0,0,17,0,0,0,14,0,0,0,0,17,8,0,186,,,,,,,,,,,,,,
