Site,Buddy,Family,Species,Date,Time (s),Macro-algal Bites,Turf/filamentous algal Bites,Live Coral Bites,Dead Coral (With Algae),CoTS Scars ,Sponge Bites,Sediment,Unknown 
Shark Island,A,Parrotfish,Surf,09/24/2025,180,1,34,1,0,0,0,1,0
Shark Island,A,Parrotfish,Blue-barred,10/02/2025,190,0,25,0,0,0,28,0,0
Shark Island,A,Parrotfish,Surf,10/02/2025,190,0,71,2,0,0,0,0,0
Shark Island,A,Parrotfish,Blue-barred,10/02/2025,210,0,88,6,0,0,15,0,2
Shark Island,A,Parrotfish,Blue-barred,10/14/2025,180,0,16,16,0,0,0,0,3
Shark Island,A,Parrotfish,Blue-barred,10/14/2025,190,0,31,12,0,0,0,0,0
Shark Island,A,Parrotfish,Surf,10/14/2025,180,0,16,4,0,0,0,0,0
Shark Island,A,Parrotfish,Blue-barred,10/14/2025,180,0,31,0,0,0,0,0,0
Shark Island,A,Parrotfish,Blue-barred,10/14/2025,190,3,42,7,0,0,0,0,3
Shark Island,B,Parrotfish,Surf,09/24/2025,180,1,36,2,0,0,0,3,0
Shark Island,B,Parrotfish,Blue-barred,10/02/2025,190,0,45,0,0,0,20,0,0
Shark Island,B,Parrotfish,Surf,10/02/2025,190,0,75,1,0,0,0,0,0
Shark Island,B,Parrotfish,Blue-barred,10/02/2025,210,1,79,0,0,0,7,0,0
Shark Island,B,Parrotfish,Blue-barred,10/14/2025,180,0,9,13,0,0,0,0,4
Shark Island,B,Parrotfish,Blue-barred,10/14/2025,190,0,25,8,0,0,0,0,6
Shark Island,B,Parrotfish,Surf,10/14/2025,180,0,16,2,0,0,0,0,5
Shark Island,B,Parrotfish,Blue-barred,10/14/2025,180,0,23,0,0,0,0,0,0
Shark Island,B,Parrotfish,Blue-barred,10/14/2025,190,1,52,5,0,0,0,0,2
Shark Island,A,Rabbitfish,Virgate,09/24/2025,180,1,37,2,0,0,0,0,1
Shark Island,A,Rabbitfish,Virgate,10/02/2025,210,0,61,0,0,0,20,0,0
Shark Island,A,Rabbitfish,Virgate,10/02/2025,210,0,84,1,0,0,0,0,2
Shark Island,A,Rabbitfish,Virgate,10/02/2025,180,1,61,2,0,0,3,0,0
Shark Island,A,Rabbitfish,Virgate,10/14/2025,180,13,55,0,0,0,0,0,0
Shark Island,A,Rabbitfish,Virgate,10/14/2025,200,4,16,0,0,0,0,0,0
Shark Island,A,Rabbitfish,Virgate,10/14/2025,210,0,81,2,0,0,0,0,0
Shark Island,A,Rabbitfish,Virgate,10/14/2025,180,0,20,24,0,0,0,0,0
Shark Island,A,Rabbitfish,Virgate,10/14/2025,180,9,31,4,0,0,0,0,0
Shark Island,B,Rabbitfish,Virgate,09/24/2025,180,2,54,6,0,0,0,0,0
Shark Island,B,Rabbitfish,Virgate,10/02/2025,210,0,43,0,0,0,38,0,0
Shark Island,B,Rabbitfish,Virgate,10/02/2025,210,0,73,0,0,0,0,0,0
Shark Island,B,Rabbitfish,Virgate,10/02/2025,180,0,55,0,0,0,3,0,0
Shark Island,B,Rabbitfish,Virgate,10/14/2025,180,9,47,0,0,0,0,0,0
Shark Island,B,Rabbitfish,Virgate,10/14/2025,200,2,14,0,0,0,0,0,2
Shark Island,B,Rabbitfish,Virgate,10/14/2025,210,0,92,0,0,0,0,0,0
Shark Island,B,Rabbitfish,Virgate,10/14/2025,180,0,24,18,0,0,0,0,8
Shark Island,B,Rabbitfish,Virgate,10/14/2025,180,6,29,3,0,0,0,0,0
Shark Island,A,Butterflyfish,8-banded,09/24/2025,180,0,0,18,0,0,0,0,0
Shark Island,A,Butterflyfish,Weibel,10/02/2025,200,0,16,0,0,0,0,0,0
Shark Island,A,Butterflyfish,Weibel,10/02/2025,200,0,7,0,0,0,0,0,0
Shark Island,A,Butterflyfish,Weibel,10/02/2025,190,0,18,0,0,0,0,0,0
Shark Island,A,Butterflyfish,8-banded,10/14/2025,180,1,6,13,0,0,0,0,0
Shark Island,A,Butterflyfish,Weibel,10/14/2025,180,1,16,13,0,0,0,0,1
Shark Island,A,Butterflyfish,Weibel,10/14/2025,200,0,5,12,0,0,0,0,0
Shark Island,A,Butterflyfish,8-banded,10/14/2025,190,6,16,7,0,0,0,0,0
Shark Island,A,Butterflyfish,Weibel,10/14/2025,190,0,0,27,0,0,0,0,0
Shark Island,B,Butterflyfish,8-banded,09/24/2025,180,0,1,18,0,0,0,0,0
Shark Island,B,Butterflyfish,Weibel,10/02/2025,200,0,12,0,0,0,0,0,0
Shark Island,B,Butterflyfish,Weibel,10/02/2025,200,0,5,0,0,0,0,0,0
Shark Island,B,Butterflyfish,Weibel,10/02/2025,190,0,13,1,0,0,0,0,0
Shark Island,B,Butterflyfish,8-banded,10/14/2025,180,0,10,11,0,0,0,0,0
Shark Island,B,Butterflyfish,Weibel,10/14/2025,180,1,9,14,0,0,0,0,2
Shark Island,B,Butterflyfish,Weibel,10/14/2025,200,0,6,9,0,0,0,0,0
Shark Island,B,Butterflyfish,8-banded,10/14/2025,190,5,21,7,0,0,0,0,5
Shark Island,B,Butterflyfish,Weibel,10/14/2025,190,0,0,26,0,0,0,0,0
Aow Leuk,A,Parrotfish,Surf,09/01/2025,180,0,55,2,0,0,0,8,0
Aow Leuk,A,Parrotfish,Blue-barred,09/01/2025,180,0,48,15,0,0,7,0,0
Aow Leuk,A,Parrotfish,Surf,09/25/2025,200,0,82,0,0,0,0,16,0
Aow Leuk,A,Parrotfish,Surf,09/25/2025,220,2,72,0,0,0,0,3,0
Aow Leuk,A,Parrotfish,Surf,09/29/2025,200,5,43,3,0,0,0,0,10
Aow Leuk,A,Parrotfish,Blue-barred,09/29/2025,200,10,60,3,0,0,0,0,5
Aow Leuk,A,Parrotfish,Surf,09/29/2025,190,0,95,0,0,0,0,0,0
Aow Leuk,A,Parrotfish,Surf,10/07/2025,180,7,21,0,0,0,0,0,0
Aow Leuk,A,Parrotfish,Purple,10/07/2025,180,3,114,6,0,0,0,0,0
Aow Leuk,B,Parrotfish,Surf,09/01/2025,180,0,35,5,0,0,0,12,0
Aow Leuk,B,Parrotfish,Blue-barred,09/01/2025,180,0,38,10,0,0,3,0,0
Aow Leuk,B,Parrotfish,Surf,09/25/2025,200,0,65,0,0,0,0,10,0
Aow Leuk,B,Parrotfish,Surf,09/25/2025,220,0,66,0,0,0,0,3,0
Aow Leuk,B,Parrotfish,Surf,09/29/2025,200,9,48,2,0,0,0,6,1
Aow Leuk,B,Parrotfish,Blue-barred,09/29/2025,200,13,54,3,0,0,0,6,0
Aow Leuk,B,Parrotfish,Surf,09/29/2025,190,3,109,0,0,0,0,0,0
Aow Leuk,B,Parrotfish,Surf,10/07/2025,180,6,27,0,0,0,0,0,9
Aow Leuk,B,Parrotfish,Purple,10/07/2025,180,5,98,5,0,0,0,0,4
Aow Leuk,A,Rabbitfish,Virgate,09/01/2025,180,5,23,0,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,09/25/2025,200,15,14,9,0,0,0,6,0
Aow Leuk,A,Rabbitfish,Virgate,09/25/2025,200,2,26,2,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,09/29/2029,180,5,40,0,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,09/29/2025,200,0,22,0,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,09/29/2025,190,0,20,0,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,10/07/2025,180,0,3,0,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,10/07/2025,180,0,25,5,0,0,0,0,0
Aow Leuk,A,Rabbitfish,Virgate,10/07/2025,120,0,20,0,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,09/01/2025,180,5,25,0,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,09/25/2025,200,17,15,11,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,09/25/2025,200,3,20,2,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,09/29/2029,180,4,34,0,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,09/29/2025,200,0,19,0,0,0,0,0,4
Aow Leuk,B,Rabbitfish,Virgate,09/29/2025,190,0,27,0,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,10/07/2025,180,0,3,0,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,10/07/2025,180,0,32,6,0,0,0,0,0
Aow Leuk,B,Rabbitfish,Virgate,10/07/2025,180,0,22,0,0,0,0,0,0
Aow Leuk,A,Butterflyfish,Weibel,09/01/2025,180,6,14,2,0,0,0,0,0
Aow Leuk,A,Butterflyfish,8-banded,09/01/2025,180,0,4,11,0,0,0,0,0
Aow Leuk,A,Butterflyfish,8-banded,09/25/2025,190,0,0,6,0,0,0,0,0
Aow Leuk,A,Butterflyfish,Weibel,09/25/2025,240,0,19,13,0,0,0,2,0
Aow Leuk,A,Butterflyfish,8-banded,09/29/2025,180,0,0,10,0,0,0,0,0
Aow Leuk,A,Butterflyfish,Weibel,09/29/2025,200,4,0,8,0,0,0,0,0
Aow Leuk,A,Butterflyfish,8-banded,10/07/2025,200,0,4,12,0,0,0,0,0
Aow Leuk,A,Butterflyfish,8-banded,10/07/2025,180,0,3,72,0,0,0,0,0
Aow Leuk,A,Butterflyfish,8-banded,10/07/2025,190,7,24,0,0,0,0,0,0
Aow Leuk,B,Butterflyfish,Weibel,09/01/2025,180,2,17,0,0,0,0,0,0
Aow Leuk,B,Butterflyfish,8-banded,09/01/2025,180,0,2,10,0,0,0,0,0
Aow Leuk,B,Butterflyfish,8-banded,09/25/2025,190,0,0,5,0,0,0,0,0
Aow Leuk,B,Butterflyfish,Weibel,09/25/2025,240,0,15,10,0,0,0,2,0
Aow Leuk,B,Butterflyfish,8-banded,09/29/2025,180,0,0,11,0,0,0,0,0
Aow Leuk,B,Butterflyfish,Weibel,09/29/2025,200,2,0,4,0,0,0,0,0
Aow Leuk,B,Butterflyfish,8-banded,10/07/2025,200,3,2,16,0,0,0,0,0
Aow Leuk,B,Butterflyfish,8-banded,10/07/2025,180,0,5,60,0,0,0,0,0
Aow Leuk,B,Butterflyfish,8-banded,10/07/2025,190,5,27,0,0,0,0,0,0
Tanote Bay,A,Parrotfish,Blue-barred,10/06/2025,200,7,37,15,0,0,0,4,0
Tanote Bay,A,Parrotfish,Surf,10/06/2025,180,4,30,2,0,0,0,0,0
Tanote Bay,A,Parrotfish,Purple,10/06/2025,190,6,48,4,0,0,0,21,0
Tanote Bay,A,Parrotfish,Purple,10/07/2025,190,4,100,9,0,0,0,8,3
Tanote Bay,A,Parrotfish,Purple,10/07/2025,200,9,162,5,0,0,0,0,0
Tanote Bay,A,Parrotfish,Surf,10/07/2025,190,4,86,0,0,0,0,20,0
Tanote Bay,A,Parrotfish,Surf,10/07/2025,210,0,15,3,0,0,0,117,0
Tanote Bay,A,Parrotfish,Surf,10/15/2025,200,12,98,3,0,0,0,0,0
Tanote Bay,A,Parrotfish,Purple,10/15/2025,180,7,62,0,0,0,0,4,8
Tanote Bay,A,Parrotfish,Surf,10/15/2025,180,16,95,7,0,0,0,0,0
Tanote Bay,B,Parrotfish,Blue-barred,10/06/2025,200,4,37,10,0,0,0,8,3
Tanote Bay,B,Parrotfish,Surf,10/06/2025,180,4,17,3,0,0,0,0,0
Tanote Bay,B,Parrotfish,Purple,10/06/2025,190,5,35,3,0,0,0,24,0
Tanote Bay,B,Parrotfish,Purple,10/07/2025,190,6,86,4,0,0,0,7,10
Tanote Bay,B,Parrotfish,Purple,10/07/2025,200,13,149,3,0,0,0,0,0
Tanote Bay,B,Parrotfish,Surf,10/07/2025,190,9,66,0,0,0,0,19,3
Tanote Bay,B,Parrotfish,Surf,10/07/2025,210,0,14,4,0,0,0,111,0
Tanote Bay,B,Parrotfish,Surf,10/15/2025,200,7,101,1,0,0,0,0,0
Tanote Bay,B,Parrotfish,Purple,10/15/2025,180,3,49,0,0,0,0,3,2
Tanote Bay,B,Parrotfish,Surf,10/15/2025,180,13,75,0,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/06/2025,190,4,37,4,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/06/2025,180,5,57,0,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/06/2025,180,2,58,0,0,0,0,0,0
