Site,Transect,Quadrat,CPCE Point,Substrate,GF,Scar
Aow Leuk,AL1,1,1,UK,NA,NA
Aow Leuk,AL1,1,2,HC,SUB,NA
Aow Leuk,AL1,1,3,HC,SUB,NA
Aow Leuk,AL1,1,4,HC,SUB,NA
Aow Leuk,AL1,1,5,UK,NA,NA
Aow Leuk,AL1,1,6,TUR,NA,NA
Aow Leuk,AL1,1,7,HC,SUB,NA
Aow Leuk,AL1,1,8,HC,SUB,NA
Aow Leuk,AL1,1,9,HC,SUB,NA
Aow Leuk,AL1,1,10,HC,SUB,NA
Aow Leuk,AL1,1,11,HC,SUB,NA
Aow Leuk,AL1,1,12,HC,SUB,NA
Aow Leuk,AL1,1,13,TUR,NA,NA
Aow Leuk,AL1,1,14,TUR,NA,NA
Aow Leuk,AL1,1,15,TUR,NA,NA
Aow Leuk,AL1,1,16,HC,SUB,NA
Aow Leuk,AL1,1,17,HC,SUB,NA
Aow Leuk,AL1,1,18,AB,NA,NA
Aow Leuk,AL1,1,19,TUR,NA,NA
Aow Leuk,AL1,1,20,TUR,NA,NA
Aow Leuk,AL1,1,21,HC,SUB,NA
Aow Leuk,AL1,1,22,AB,NA,NA
Aow Leuk,AL1,1,23,HC,SUB,NA
Aow Leuk,AL1,1,24,TUR,NA,NA
Aow Leuk,AL1,1,25,HC,SUB,NA
Aow Leuk,AL1,2,1,TUR,NA,NA
Aow Leuk,AL1,2,2,AB,NA,NA
Aow Leuk,AL1,2,3,TUR,NA,NA
Aow Leuk,AL1,2,4,AB,NA,NA
Aow Leuk,AL1,2,5,TUR,NA,NA
Aow Leuk,AL1,2,6,TUR,NA,NA
Aow Leuk,AL1,2,7,TUR,NA,NA
Aow Leuk,AL1,2,8,TUR,NA,NA
Aow Leuk,AL1,2,9,TUR,NA,NA
Aow Leuk,AL1,2,10,TUR,NA,NA
Aow Leuk,AL1,2,11,HC,ARB,NA
Aow Leuk,AL1,2,12,AB,NA,NA
Aow Leuk,AL1,2,13,TUR,NA,NA
Aow Leuk,AL1,2,14,AB,NA,NA
Aow Leuk,AL1,2,15,HC,ARB,NA
Aow Leuk,AL1,2,16,TUR,NA,NA
Aow Leuk,AL1,2,17,TUR,NA,NA
Aow Leuk,AL1,2,18,TUR,NA,NA
Aow Leuk,AL1,2,19,TUR,NA,NA
Aow Leuk,AL1,2,20,TUR,NA,NA
Aow Leuk,AL1,2,21,TUR,NA,NA
Aow Leuk,AL1,2,22,TUR,NA,NA
Aow Leuk,AL1,2,23,TUR,NA,NA
Aow Leuk,AL1,2,24,TUR,NA,NA
Aow Leuk,AL1,2,25,TUR,NA,NA
Aow Leuk,AL1,3,1,TUR,NA,NA
Aow Leuk,AL1,3,2,TUR,NA,NA
Aow Leuk,AL1,3,3,AB,NA,NA
Aow Leuk,AL1,3,4,TUR,NA,NA
Aow Leuk,AL1,3,5,AB,NA,NA
Aow Leuk,AL1,3,6,TUR,NA,NA
Aow Leuk,AL1,3,7,AB,NA,NA
Aow Leuk,AL1,3,8,AB,NA,NA
Aow Leuk,AL1,3,9,TUR,NA,NA
Aow Leuk,AL1,3,10,AB,NA,NA
Aow Leuk,AL1,3,11,AB,NA,NA
Aow Leuk,AL1,3,12,TUR,NA,NA
Aow Leuk,AL1,3,13,AB,NA,NA
Aow Leuk,AL1,3,14,AB,NA,NA
Aow Leuk,AL1,3,15,TUR,NA,NA
Aow Leuk,AL1,3,16,TUR,NA,NA
Aow Leuk,AL1,3,17,TUR,NA,NA
Aow Leuk,AL1,3,18,TUR,NA,NA
Aow Leuk,AL1,3,19,TUR,NA,NA
Aow Leuk,AL1,3,20,AB,NA,NA
Aow Leuk,AL1,3,21,TUR,NA,NA
Aow Leuk,AL1,3,22,TUR,NA,NA
Aow Leuk,AL1,3,23,TUR,NA,NA
Aow Leuk,AL1,3,24,TUR,NA,NA
Aow Leuk,AL1,3,25,TUR,NA,NA
Aow Leuk,AL1,4,1,TUR,NA,NA
Aow Leuk,AL1,4,2,AB,NA,NA
Aow Leuk,AL1,4,3,TUR,NA,NA
Aow Leuk,AL1,4,4,TUR,NA,NA
Aow Leuk,AL1,4,5,TUR,NA,NA
Aow Leuk,AL1,4,6,TUR,NA,NA
Aow Leuk,AL1,4,7,TUR,NA,NA
Aow Leuk,AL1,4,8,AB,NA,NA
Aow Leuk,AL1,4,9,TUR,NA,NA
Aow Leuk,AL1,4,10,TUR,NA,NA
Aow Leuk,AL1,4,11,TUR,NA,NA
